id_venda;data_venda;nome_vendedor;nome_comprador;meio_pagamento;quantidade;preco_unitario;valor_total;local_empresa;produto;codigo_produto;segmento_produto
1;25/04/2023;Alice Araújo;Bianca Aparecida;Cartão;2;22,26;44,52;Belo Horizonte;Fogão;PROD005;Eletrodomésticos
2;16/01/2023;Maria Luísa Almeida;Lucas Freitas;Pix;9;52,6;473,4;Belo Horizonte;Câmera DSLR;PROD007;Eletrônicos
3;29/11/2023;Dra. Ester Ferreira;Guilherme Rios;Pix;9;304,99;2744,91;Belo Horizonte;Tablet;PROD009;Eletrodomésticos
4;24/12/2023;Dr. Erick Leão;Dr. Ryan Cirino;Boleto;8;298,74;2389,92;Belo Horizonte;Smartphone;PROD001;Eletrodomésticos
5;17/02/2023;Dr. Erick Leão;Ana Nascimento;Boleto;3;115,5;346,5;Belo Horizonte;Máquina de Lavar;PROD006;Eletrônicos
6;02/10/2023;Maria Luísa Almeida;Otávio Rezende;Cartão;6;305,83;1834,98;Belo Horizonte;Smartphone;PROD001;Áudio e Vídeo
7;23/10/2023;Dante Vasconcelos;Diego da Costa;Cartão;9;153,66;1382,94;Belo Horizonte;Micro-ondas;PROD010;Informática
8;30/04/2023;Maria Luísa Almeida;Otávio Rezende;Boleto;1;334,02;334,02;Belo Horizonte;Fogão;PROD005;Eletrônicos
9;09/07/2023;Igor Alves;Lucas Freitas;Boleto;8;321,49;2571,92;Belo Horizonte;Máquina de Lavar;PROD006;Eletrodomésticos
10;25/03/2023;José Pedro Guerra;Otávio Rezende;Boleto;2;308,47;616,94;Belo Horizonte;TV 4K;PROD003;Eletrodomésticos
11;28/04/2023;Emanuelly Costa;Alana Oliveira;Dinheiro;9;117,61;1058,49;Belo Horizonte;Máquina de Lavar;PROD006;Eletrônicos
12;19/04/2023;José Pedro Guerra;Thomas Pimenta;Dinheiro;5;42,43;212,15;Belo Horizonte;Micro-ondas;PROD010;Informática
13;27/10/2023;Dr. Erick Leão;José Pedro da Rocha;Dinheiro;3;139,79;419,37;Belo Horizonte;Geladeira;PROD004;Informática
14;16/02/2023;Emanuelly Costa;Bárbara Macedo;Pix;6;117,47;704,82;Belo Horizonte;TV 4K;PROD003;Áudio e Vídeo
15;17/07/2023;Dr. Erick Leão;Allana da Cruz;Dinheiro;3;398,12;1194,36;Belo Horizonte;Câmera DSLR;PROD007;Eletrônicos
16;15/12/2023;Maria Luísa Almeida;Vinícius Moreira;Boleto;9;133,19;1198,71;Belo Horizonte;Tablet;PROD009;Eletrônicos
17;21/08/2023;Emanuelly Costa;Miguel Leão;Boleto;6;64,66;387,96;Belo Horizonte;Câmera DSLR;PROD007;Eletrodomésticos
18;17/11/2023;Alícia Cassiano;Dra. Liz da Costa;Pix;9;383,36;3450,24;Belo Horizonte;Tablet;PROD009;Eletrônicos
19;03/11/2023;Igor Alves;João Miguel Castro;Cartão;3;193,22;579,66;Belo Horizonte;TV 4K;PROD003;Eletrônicos
20;30/01/2023;Dante Vasconcelos;Laura Santos;Cartão;2;465,26;930,52;Belo Horizonte;Fogão;PROD005;Eletrodomésticos
21;07/03/2023;José Pedro Guerra;Elisa Rios;Pix;2;368,63;737,26;Belo Horizonte;Notebook;PROD002;Eletrodomésticos
22;19/04/2023;Dra. Ester Ferreira;Sr. Benicio Câmara;Pix;5;268,56;1342,8;Belo Horizonte;Micro-ondas;PROD010;Áudio e Vídeo
23;22/09/2023;José Pedro Guerra;Bárbara Macedo;Pix;5;205,51;1027,55;Belo Horizonte;Máquina de Lavar;PROD006;Áudio e Vídeo
24;29/10/2023;Dante Vasconcelos;Lorenzo Silva;Cartão;4;41,37;165,48;Belo Horizonte;Smartphone;PROD001;Eletrodomésticos
25;06/02/2023;Dra. Ester Ferreira;Maria Laura Aparecida;Boleto;1;122,18;122,18;Belo Horizonte;Smartphone;PROD001;Informática
26;05/05/2023;José Pedro Guerra;Guilherme Rios;Pix;8;114,98;919,84;Belo Horizonte;TV 4K;PROD003;Áudio e Vídeo
27;05/08/2023;Dr. Erick Leão;Luiz Fernando Freitas;Cartão;2;57,5;115;Belo Horizonte;Câmera DSLR;PROD007;Informática
28;08/05/2023;Dante Vasconcelos;Dra. Evelyn Rezende;Dinheiro;2;39,7;79,4;Belo Horizonte;Máquina de Lavar;PROD006;Eletrônicos
29;08/05/2023;Maria Luísa Almeida;Clara Machado;Cartão;3;216,72;650,16;Belo Horizonte;Fogão;PROD005;Áudio e Vídeo
30;17/02/2023;Dante Vasconcelos;Dra. Luna Ferreira;Dinheiro;1;329,55;329,55;Belo Horizonte;Tablet;PROD009;Eletrônicos
