id_venda;data_venda;nome_vendedor;nome_comprador;meio_pagamento;quantidade;preco_unitario;valor_total;local_empresa;produto;codigo_produto;segmento_produto
c015ae5b-0531-4127-9d1a-e75428d3eb0b;25/04/2023;Dr. Vinicius Nunes;Laura Viana;Cartão;2;22,26;44,52;Belo Horizonte;Fogão;PROD005;Eletrodomésticos
e2fed0d5-804f-4ae0-b342-947cadcb449f;16/01/2023;Henry Souza;Yasmin Pacheco;Pix;9;52,6;473,4;Belo Horizonte;Câmera DSLR;PROD007;Eletrônicos
baa89a76-0bb7-45f0-bdf1-b2fec07935ec;29/11/2023;João Felipe da Paz;Sra. Gabrielly Siqueira;Pix;9;304,99;2744,91;Belo Horizonte;Tablet;PROD009;Eletrodomésticos
3d9fdb85-f625-4900-963f-ed8e835ebfae;24/12/2023;Dra. Pietra Gomes;João Pedro Camargo;Boleto;8;298,74;2389,92;Belo Horizonte;Smartphone;PROD001;Eletrodomésticos
67a777de-5e5c-49df-b2c5-e9ebfbe9c265;17/02/2023;Dra. Pietra Gomes;Dr. Marcelo Camargo;Boleto;3;115,5;346,5;Belo Horizonte;Máquina de Lavar;PROD006;Eletrônicos
965abfb6-f00f-452a-9170-5f00dd9efe54;02/10/2023;Henry Souza;Maria Luísa Pinto;Cartão;6;305,83;1834,98;Belo Horizonte;Smartphone;PROD001;Áudio e Vídeo
16deb045-f6f1-4fcc-a308-86cfbc16a65e;23/10/2023;Ana Luiza Guerra;Srta. Sabrina da Mota;Cartão;9;153,66;1382,94;Belo Horizonte;Micro-ondas;PROD010;Informática
302fdf5c-7db8-476a-94c7-b7c9a1fcd7fb;30/04/2023;Henry Souza;Maria Luísa Pinto;Boleto;1;334,02;334,02;Belo Horizonte;Fogão;PROD005;Eletrônicos
18de4d99-fbdb-4e3d-89fb-36ac2c709e96;09/07/2023;Davi Melo;Yasmin Pacheco;Boleto;8;321,49;2571,92;Belo Horizonte;Máquina de Lavar;PROD006;Eletrodomésticos
d0828874-6c23-4284-83b0-05fe3c5285b8;25/03/2023;Laís Aragão;Maria Luísa Pinto;Boleto;2;308,47;616,94;Belo Horizonte;TV 4K;PROD003;Eletrodomésticos
