id_venda;data_venda;nome_vendedor;nome_comprador;meio_pagamento;quantidade;preco_unitario;valor_total;local_empresa;produto;codigo_produto;segmento_produto
4bc8b94b-190a-472c-af54-82b7fa32970e;25/04/2023;Davi Miguel da Paz;Erick Gonçalves;Cartão;2;22,26;44,52;Rondônia;Fogão;PROD005;Eletrodomésticos
ffce8d6d-c333-4fb6-9b42-7147d025f7fa;16/01/2023;Dr. Bruno Ferreira;Anna Liz Castro;Pix;9;52,6;473,4;Pernambuco;Câmera DSLR;PROD007;Eletrônicos
b9edd575-e250-4068-a67d-6be04ddad10c;23/04/2023;Lucas Sá;Thales Cirino;Boleto;10;23;230;Sergipe;Geladeira;PROD004;Áudio e Vídeo
2a56e4ce-0e5f-45c4-8658-484e4b99e689;24/06/2023;João Gonçalves;Antony Mendonça;Pix;1;381,82;381,82;São Paulo;TV 4K;PROD003;Áudio e Vídeo
c96bfee8-6390-4087-8924-e26f16742255;03/07/2023;Marcela Sales;Rodrigo Borges;Boleto;6;60,08;360,48;Sergipe;Câmera DSLR;PROD007;Eletrônicos
ba0fe839-dc45-4f7e-a34c-4216c04c10ba;13/07/2023;Dr. Bruno Ferreira;Luana Mendes;Boleto;1;367,57;367,57;Tocantins;Tablet;PROD009;Eletrônicos
980fffb7-aa6e-4e22-8e5a-5476ae059828;27/12/2023;Dr. Bruno Ferreira;Felipe da Rosa;Pix;10;443,87;4438,7;São Paulo;Máquina de Lavar;PROD006;Eletrodomésticos
3c819e83-0dc1-4803-b7cf-6849679b5b48;14/07/2023;João Gonçalves;Maitê Monteiro;Boleto;5;492,76;2463,8;Ceará;Geladeira;PROD004;Eletrônicos
5dd6bb21-1fb9-4d6b-b2c8-682a49139ec7;08/11/2023;Davi Miguel da Paz;Dr. Pedro Miguel Alves;Pix;6;184,08;1104,48;Ceará;Fogão;PROD005;Eletrônicos
c0c3f2cb-076e-446e-ac50-d313834c156b;17/12/2023;Marcela Sales;Alexandre Sampaio;Cartão;8;195,93;1567,44;Espírito Santo;Tablet;PROD009;Eletrodomésticos
14c2ca3d-50b5-4047-8e75-fca7b698af7b;03/02/2023;Ana Sophia Sousa;Lunna Costela;Boleto;1;404,47;404,47;Distrito Federal;Câmera DSLR;PROD007;Informática
