id_venda;data_venda;nome_vendedor;nome_comprador;meio_pagamento;quantidade;preco_unitario;valor_total;local_empresa;produto;codigo_produto;segmento_produto
7d9ac280-556a-4dbc-8185-9a80cb2a630a;25/04/2023;Emanuella Azevedo;Esther Fonseca;Cartão;2;22,26;44,52;Rondônia;Fogão;PROD005;Eletrodomésticos
c70f20d2-6c27-412c-9bb1-327c31582313;16/01/2023;Vicente Ferreira;Bryan da Rosa;Pix;9;52,6;473,4;Pernambuco;Câmera DSLR;PROD007;Eletrônicos
4f186648-88d4-426c-a475-9f123437a22f;23/04/2023;Srta. Maria Julia Mendes;Manuela da Costa;Boleto;10;23;230;Sergipe;Geladeira;PROD004;Áudio e Vídeo
37563db6-ad4d-4f7a-b3b1-95bf8f840aaa;24/06/2023;Marcos Vinicius da Conceição;Dra. Júlia Moura;Pix;1;381,82;381,82;São Paulo;TV 4K;PROD003;Áudio e Vídeo
a1dbad96-9ef2-470d-9746-f08fc2324ae8;03/07/2023;Olivia da Mata;Srta. Gabriela da Costa;Boleto;6;60,08;360,48;Sergipe;Câmera DSLR;PROD007;Eletrônicos
cd3d82d4-9e6e-4300-a7cf-d342adf0d682;13/07/2023;Vicente Ferreira;Benjamin Moreira;Boleto;1;367,57;367,57;Tocantins;Tablet;PROD009;Eletrônicos
14ea8dc1-ac98-49dd-bbf8-e13d9c796d56;27/12/2023;Vicente Ferreira;Rafael Porto;Pix;10;443,87;4438,7;São Paulo;Máquina de Lavar;PROD006;Eletrodomésticos
14c29d3e-c244-45a4-8d63-35c8fb3d3b59;14/07/2023;Marcos Vinicius da Conceição;Francisco Cunha;Boleto;5;492,76;2463,8;Ceará;Geladeira;PROD004;Eletrônicos
75a3c734-9dd7-4599-83d4-c7adb4c1b62f;08/11/2023;Emanuella Azevedo;Marina Pinto;Pix;6;184,08;1104,48;Ceará;Fogão;PROD005;Eletrônicos
ebd2644f-14b9-457a-864d-bb7c9f145223;17/12/2023;Olivia da Mata;Dr. Rael Casa Grande;Cartão;8;195,93;1567,44;Espírito Santo;Tablet;PROD009;Eletrodomésticos
eb8ccfae-cdfd-439c-b9b9-ebabd41aa368;03/02/2023;Sr. Noah Sousa;Gael Henrique Campos;Boleto;1;404,47;404,47;Distrito Federal;Câmera DSLR;PROD007;Informática
5eac1626-89fd-4e36-94bc-ed97c294543f;16/05/2023;Emanuella Azevedo;Joana Sampaio;Boleto;8;203,86;1630,88;Santa Catarina;Fone de Ouvido;PROD008;Eletrodomésticos
5c06d49d-2b04-4d8f-a5c6-273c14869646;05/07/2023;Sr. Noah Sousa;Lavínia Cirino;Dinheiro;10;219,93;2199,3;Amapá;Micro-ondas;PROD010;Áudio e Vídeo
8eada928-2334-4f86-8407-de6e47f2a8d7;15/12/2023;Mateus da Mata;Srta. Gabriela da Costa;Cartão;1;431,94;431,94;Minas Gerais;TV 4K;PROD003;Eletrodomésticos
898105aa-d9f8-4d43-86d7-732fe1191150;11/10/2023;Eduardo Guerra;Igor Correia;Cartão;7;301,99;2113,93;Rondônia;Fone de Ouvido;PROD008;Informática
bfc523fd-05bc-4f2d-b8bb-680b3c7a8745;31/05/2023;Mateus da Mata;Raul Macedo;Dinheiro;9;377,93;3401,37;Acre;Máquina de Lavar;PROD006;Eletrônicos
bd939c0c-d928-45f9-856a-63bedc0bbca5;17/11/2023;Marcos Vinicius da Conceição;Ravy Araújo;Pix;5;486,23;2431,15;Bahia;TV 4K;PROD003;Eletrônicos
583ca059-a624-4cff-9dbe-4082e68debdf;03/11/2023;Olivia da Mata;Julia Mendes;Cartão;6;383,63;2301,78;Amazonas;Tablet;PROD009;Eletrônicos
3cd40145-dbe9-4157-bb7b-a29042ee358b;30/01/2023;Sr. Noah Sousa;Gael Henrique Campos;Cartão;6;440,57;2643,42;Amapá;Fogão;PROD005;Eletrodomésticos
43eb14f2-9391-4faf-8d41-8aef67a8bc16;07/03/2023;Srta. Maria Julia Mendes;Benjamin Moreira;Pix;8;409,85;3278,8;Goiás;Tablet;PROD009;Eletrodomésticos
34e5cf07-3b33-478a-8ee5-3b05e153c42d;04/10/2023;Sr. Noah Sousa;Marcos Vinicius Vieira;Boleto;9;437,49;3937,41;Minas Gerais;Câmera DSLR;PROD007;Eletrodomésticos
d9e45c9e-d814-49f2-acf4-3c4ec741fa1a;03/03/2023;Sr. Noah Sousa;Maria Alice Caldeira;Cartão;6;224,67;1348,02;Mato Grosso;Tablet;PROD009;Áudio e Vídeo
